order_id,customer_id,product_id,order_date,quantity
1,342,36,2025-03-14,10
2,30,31,2025-02-15,9
3,230,2,2025-06-05,7
4,170,84,2025-01-07,9
5,409,11,2025-12-28,8
6,235,49,2025-01-06,2
7,465,94,2025-11-27,2
8,239,94,2025-12-17,8
9,425,89,2025-06-25,7
10,223,9,2025-04-21,8
11,82,42,2025-11-06,1
12,436,61,2025-03-01,6
13,352,28,2025-06-14,1
14,202,64,2025-09-03,6
15,52,59,2025-07-05,1
16,209,100,2025-06-12,6
17,322,44,2025-08-25,2
18,9,6,2025-07-13,4
19,432,33,2025-05-10,4
20,263,36,2025-11-25,9
21,53,87,2025-06-02,9
22,44,80,2025-12-09,7
23,363,9,2025-08-27,5
24,122,31,2025-11-14,5
25,160,73,2025-01-30,2
26,482,32,2025-04-29,8
27,392,55,2025-10-09,9
28,485,47,2025-09-02,2
29,178,95,2025-01-21,9
30,175,62,2025-12-26,10
31,399,63,2025-10-13,4
32,77,90,2025-11-10,3
33,149,83,2025-11-30,4
34,392,1,2025-06-07,2
35,176,61,2025-01-30,8
36,310,10,2025-06-26,4
37,441,85,2025-09-10,1
38,33,7,2025-03-09,1
39,178,99,2025-03-09,8
40,226,6,2025-10-28,1
41,312,40,2025-01-01,7
42,126,13,2025-09-24,10
43,184,57,2025-03-10,8
44,451,59,2025-01-01,8
45,182,3,2025-07-08,10
46,264,33,2025-08-15,9
47,275,61,2025-06-22,8
48,362,94,2025-12-08,10
49,177,13,2025-09-08,9
50,239,42,2025-10-02,7
51,253,60,2025-07-29,6
52,449,23,2025-06-19,6
53,166,69,2025-02-05,8
54,24,26,2025-02-09,9
55,334,72,2025-07-15,5
56,199,85,2025-07-23,6
57,30,75,2025-08-29,3
58,242,88,2025-05-03,2
59,6,94,2025-12-03,2
60,160,84,2025-08-18,7
61,50,34,2025-09-03,3
62,482,64,2025-05-29,7
63,334,74,2025-12-23,9
64,2,35,2025-10-09,8
65,412,22,2025-05-24,6
66,297,34,2025-08-20,8
67,87,64,2025-03-28,8
68,453,26,2025-06-04,7
69,54,23,2025-09-23,10
70,292,43,2025-12-18,5
71,101,59,2025-02-03,9
72,141,31,2025-10-09,10
73,175,48,2025-12-05,6
74,286,98,2025-07-20,5
75,213,11,2025-12-25,5
76,424,58,2025-02-17,5
77,466,97,2025-01-10,4
78,112,84,2025-09-06,4
79,496,44,2025-09-21,8
80,287,14,2025-12-15,5
81,426,97,2025-03-12,3
82,140,50,2025-11-04,1
83,380,23,2025-01-13,5
84,120,13,2025-07-30,7
85,206,82,2025-06-04,9
86,320,6,2025-05-08,3
87,175,29,2025-09-25,1
88,191,26,2025-12-14,9
89,118,95,2025-01-12,1
90,303,83,2025-11-13,4
91,35,41,2025-11-01,1
92,99,9,2025-03-18,5
93,13,95,2025-09-22,10
94,288,31,2025-01-19,5
